CLAVE,GSS
0000,6.5
0112,5.5
0108,5.3
0102,6.4
0101,5.7
0103,6.2
0114,5.8
0104,7.1
0111,7.1
0110,6.4
0105,6.0
0106,5.8
0109,5.6
0107,5.4
0212,6.9
0202,6.9
0217,6.8
0203,6.0
0204,6.3
0214,7.0
0216,7.0
0205,7.0
0220,6.3
0206,5.7
0207,7.2
0208,6.3
0222,6.9
0209,6.1
0201,6.4
0218,6.6
0221,7.0
0210,7.1
0211,7.0
0213,7.0
0215,6.9
0219,6.8
0302,7.0
0303,6.6
0304,7.0
0301,7.2
0305,8.0
0306,6.8
0307,8.0
0308,6.1
0309,6.5
0310,6.4
0311,6.7
0312,7.1
0313,6.4
0314,7.3
0315,7.3
0320,6.4
0316,6.7
0317,7.1
0319,6.4
0402,6.8
0403,7.3
0404,5.2
0416,6.0
0405,6.9
0406,6.3
0407,6.8
0408,6.6
0409,7.0
0410,7.0
0411,6.8
0412,6.3
0413,7.6
0417,6.0
0414,5.8
0418,7.5
0401,6.5
0415,7.4
0502,6.8
0503,6.7
0501,6.3
0504,7.0
0512,6.9
0506,7.0
0515,6.4
0517,7.0
0516,7.1
0508,7.0
0522,6.1
0514,6.5
0507,6.7
0513,7.3
0509,7.1
0510,6.3
0505,5.8
0519,7.0
0521,6.5
0518,5.9
0520,5.9
0511,6.1
0602,7.4
0603,7.1
0601,7.0
0604,7.6
0609,7.0
0605,7.0
0606,7.0
0607,5.7
0608,7.4
0610,6.9
0725,6.8
0702,5.9
0703,5.9
0704,5.8
0705,7.0
0709,6.2
0707,6.6
0708,7.4
0723,6.6
0701,6.2
0711,8.9
0712,8.8
0713,7.4
0714,7.7
0730,7.1
0715,6.3
0716,6.6
0726,7.1
0718,6.5
0710,6.9
0706,6.9
0717,6.8
0729,5.5
0719,6.8
0728,5.7
0720,6.2
0721,7.0
0724,7.2
0722,6.9
0727,7.0
0802,6.9
0803,6.7
0801,7.4
0804,7.0
0805,7.0
0806,6.1
0807,6.9
0808,6.2
0809,7.3
0810,7.3
0902,6.8
0903,6.5
0904,6.4
0905,6.5
0906,6.9
0907,5.8
0908,7.1
0918,7.5
0901,6.7
0909,6.2
0910,7.0
0911,7.2
0912,7.0
0913,7.1
0914,7.2
0915,7.1
0916,6.0
0917,7.6
1001,5.8
1022,7.1
1003,7.9
1005,8.0
1019,7.1
1006,7.2
1007,6.5
1004,6.3
1010,7.0
1017,6.6
1011,6.0
1016,7.2
1008,6.4
1014,7.0
1002,5.5
1018,8.0
1012,7.5
1020,7.2
1013,6.7
1015,8.2
1021,7.0
1009,7.1
1101,5.9
1102,5.5
1103,6.9
1104,6.4
1105,6.0
1106,7.2
1119,6.6
1107,6.9
1108,6.0
1109,6.2
1110,6.0
1112,6.9
1111,6.5
1113,5.7
1114,6.1
1115,6.7
1116,7.5
1117,6.4
1118,5.9
1202,6.9
1203,7.1
1204,7.5
1205,6.5
1206,6.4
1207,7.9
1208,8.6
1209,7.3
1210,7.3
1211,6.3
1201,7.7
1212,7.7
1213,7.1
1214,6.7
1216,6.0
1215,6.8
1302,6.2
1303,7.1
1306,7.6
1305,6.9
1301,5.3
1304,7.1
1402,7.0
1403,6.8
1407,7.2
1405,6.6
1408,7.5
1409,7.2
1416,6.5
1414,7.6
1410,8.1
1415,6.7
1401,6.3
1404,7.0
1411,7.4
1413,6.5
1412,5.7
1406,7.5
1502,7.5
1510,7.7
1509,7.4
1506,7.5
1505,7.2
1511,6.1
1503,7.4
1508,6.3
1507,6.7
1504,6.7
1606,7.4
1604,7.3
1605,6.1
1602,6.7
1704,6.5
1705,6.8
1701,8.1
1702,7.4
