arquivo,linha,distrito,tipo,prioridade
dept_00_Distrito_Capital.tex,360,[Dept] Distrito Capital,Áreas recomendadas: sem conteúdo,alta
dept_00_Distrito_Capital.tex,362,[Dept] Distrito Capital,Armadilhas comuns: sem conteúdo,alta
dept_00_Distrito_Capital.tex,433,[Dept] Distrito Capital,Placeholder explícito: Satélite (Starlink) & Disponível em todo o país & 50--200 Mbps \\,alta
dept_00_Distrito_Capital.tex,446,[Dept] Distrito Capital,Placeholder explícito: Starlink & Satélite LEO & Todo o Paraguai & ~44 + equip. ~370 \\,alta
dept_01_Concepcion.tex,282,[Dept] Concepción,Áreas recomendadas: sem conteúdo,alta
dept_01_Concepcion.tex,284,[Dept] Concepción,Armadilhas comuns: sem conteúdo,alta
dept_01_Concepcion.tex,351,[Dept] Concepción,Placeholder explícito: Satélite (Starlink) & Todo o departamento & 50--200 Mbps \\,alta
dept_01_Concepcion.tex,362,[Dept] Concepción,Placeholder explícito: Starlink & Satélite LEO & Todo o departamento & ~44 + equip. ~370 \\,alta
dept_01_Concepcion.tex,1541,Concepción,"Placeholder explícito: (referência para todo o Norte), IPS Concepción, clínicas privadas",alta
dept_02_San_Pedro.tex,283,[Dept] San Pedro,Áreas recomendadas: sem conteúdo,alta
dept_02_San_Pedro.tex,285,[Dept] San Pedro,Armadilhas comuns: sem conteúdo,alta
dept_02_San_Pedro.tex,350,[Dept] San Pedro,Placeholder explícito: Satélite (Starlink) & Todo o departamento & 50--200 Mbps \\,alta
dept_02_San_Pedro.tex,362,[Dept] San Pedro,Placeholder explícito: Starlink & Satélite LEO & Todo o departamento & ~44 + equip. ~370 \\,alta
dept_02_San_Pedro.tex,4882,Santa Rosa del Aguaray,"Placeholder explícito: \item[Vias de Acesso]  Ponto de conexão vital entre Pedro Juan Caballero, Concep",alta
dept_03_Cordillera.tex,283,[Dept] Cordillera,Áreas recomendadas: sem conteúdo,alta
dept_03_Cordillera.tex,285,[Dept] Cordillera,Armadilhas comuns: sem conteúdo,alta
dept_03_Cordillera.tex,348,[Dept] Cordillera,Placeholder explícito: Rádio/Wireless & Amplo em todo o departamento & 5--50 Mbps \\,alta
dept_03_Cordillera.tex,350,[Dept] Cordillera,Placeholder explícito: Satélite (Starlink) & Todo o departamento & 50--200 Mbps \\,alta
dept_03_Cordillera.tex,361,[Dept] Cordillera,Placeholder explícito: Starlink & Satélite LEO & Todo o departamento & ~44 + equip. ~370 \\,alta
dept_03_Cordillera.tex,728,Arroyos y Esteros,Dossiê campo vazio: [Fontes],alta
dept_03_Cordillera.tex,733,Arroyos y Esteros,Dossiê campo vazio: [Fontes],alta
dept_03_Cordillera.tex,737,Arroyos y Esteros,Dossiê campo vazio: [Fontes],alta
