Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;355.175;180.765;174.410;28
        San Pedro del Ycuamandyyu;32.267;16.504;15.763;30
        Antequera;4.250;2.156;2.094;25
        Chore;23.548;11.957;11.591;28
        General Elizardo Aquino;16.971;8.757;8.214;34
        Itacurubi del Rosario;10.507;5.356;5.151;33
        Lima;10.303;5.276;5.027;28
        Nueva Germania;5.690;2.974;2.716;25
        San Estanislao;46.405;23.193;23.212;29
        San Pablo;3.415;1.803;1.612;30
        Tacuati;13.847;7.009;6.838;23
        Union;5.032;2.620;2.412;32
        25 de Diciembre;8.703;4.466;4.237;32
        Villa del Rosario;8.617;4.348;4.269;29
        General Francisco Isidoro Resquin;10.019;5.062;4.957;26
        Yataity del Norte;10.113;5.133;4.980;32
        Guajayvi;28.214;14.360;13.854;28
        Capiibary;30.570;15.694;14.876;27
        Santa Rosa del Aguaray;39.643;19.934;19.709;24
        Yrybucua;12.271;6.344;5.927;25
        Liberacion;19.100;9.697;9.403;27
        San Vicente Pancholo;11.571;5.993;5.578;25
        San Jose del Rosario;4.119;2.129;1.990;31
