department,district,path,lat,lon,solar_jan_dez,solar_media_anual,precip_jan_dez,precip_total_anual_mm,inclinacao_anual_graus,inclinacao_inverno_graus,inclinacao_verao_graus,fonte,data_acesso
03_Cordillera,Tobati,Departamentos/03_Cordillera/Tobati,-25.2602337,-57.0824109,6.76|6.20|5.42|4.44|3.36|2.83|3.21|3.93|4.61|5.49|6.42|6.78,4.95,4.09|4.96|4.29|4.95|4.91|2.61|2.14|1.32|2.58|5.53|6.42|5.66,1506,25,35,15,nasa_power,2026-03-20
03_Cordillera,Valenzuela,Departamentos/03_Cordillera/Valenzuela,-25.5945372,-56.8705538,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.09|4.96|4.29|4.95|4.91|2.61|2.14|1.32|2.58|5.53|6.42|5.66,1506,26,36,16,nasa_power,2026-03-20
04_Guaira,Borja,Departamentos/04_Guaira/Borja,-25.9507222,-56.4961614,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.35|4.55|4.28|5.31|5.34|3.12|2.53|1.97|3.11|6.11|6.25|5.30,1590,26,36,16,nasa_power,2026-03-20
04_Guaira,Capitan_Mauricio_Jose_Troche,Departamentos/04_Guaira/Capitan_Mauricio_Jose_Troche,-25.6159267,-56.2773937,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.22|4.82|4.21|5.08|5.55|3.01|2.43|1.68|3.07|6.04|6.33|5.37,1577,26,36,16,nasa_power,2026-03-20
04_Guaira,Coronel_Martinez,Departamentos/04_Guaira/Coronel_Martinez,-25.7592199,-56.6192144,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.27|4.46|4.28|5.24|5.08|2.87|2.37|1.77|2.90|5.84|6.23|5.42,1544,26,36,16,nasa_power,2026-03-20
04_Guaira,Doctor_Botrell,Departamentos/04_Guaira/Doctor_Botrell,-25.6149241,-56.3398852,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.22|4.82|4.21|5.08|5.55|3.01|2.43|1.68|3.07|6.04|6.33|5.37,1577,26,36,16,nasa_power,2026-03-20
04_Guaira,Felix_Perez_Cardozo,Departamentos/04_Guaira/Felix_Perez_Cardozo,-25.7428872,-56.5227793,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.22|4.82|4.21|5.08|5.55|3.01|2.43|1.68|3.07|6.04|6.33|5.37,1577,26,36,16,nasa_power,2026-03-20
04_Guaira,General_Eugenio_A_Garay,Departamentos/04_Guaira/General_Eugenio_A_Garay,-25.9684172,-56.1861176,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.35|4.55|4.28|5.31|5.34|3.12|2.53|1.97|3.11|6.11|6.25|5.30,1590,26,36,16,nasa_power,2026-03-20
04_Guaira,Independencia,Departamentos/04_Guaira/Independencia,-25.706892,-56.1821368,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.22|4.82|4.21|5.08|5.55|3.01|2.43|1.68|3.07|6.04|6.33|5.37,1577,26,36,16,nasa_power,2026-03-20
04_Guaira,Itape,Departamentos/04_Guaira/Itape,-25.8520504,-56.6147051,6.74|6.20|5.50|4.48|3.35|2.88|3.21|3.96|4.59|5.43|6.43|6.81,4.96,4.27|4.46|4.28|5.24|5.08|2.87|2.37|1.77|2.90|5.84|6.23|5.42,1544,26,36,16,nasa_power,2026-03-20
