task_id,department,district,path,lat,lon,fonte,data_acesso
ALF-LOC-00_Distrito_Capital-Asuncion,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,-25.2800459,-57.6343814,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Arroyito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,-23.1736945,-56.7749397,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Azotey,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,-23.3145263,-56.4883184,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Belen,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,-23.4698991,-57.263577,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Concepcion,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,-23.4068158,-57.4427755,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Horqueta,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,-23.344573,-57.0513696,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Itacua,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,-22.4849968,-57.8399918,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Loreto,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,-23.2745683,-57.3238358,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Paso_Barreto,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,-23.0484433,-57.1218936,nominatim,2026-03-20
ALF-LOC-01_Concepcion-Paso_Horqueta,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,-23.0756831,-57.3851592,nominatim,2026-03-20
ALF-LOC-01_Concepcion-San_Alfredo,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,-22.8844489,-57.4050333,nominatim,2026-03-20
ALF-LOC-01_Concepcion-San_Carlos_del_Apa,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,-22.2451434,-57.2873989,nominatim,2026-03-20
ALF-LOC-01_Concepcion-San_Lazaro,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,-22.1078086,-57.9629855,nominatim,2026-03-20
