package_id,seq_in_package,task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
PKG_01,1,STR-03_Cordillera-Caraguatay,estrutura,03_Cordillera,Caraguatay,Departamentos/03_Cordillera/Caraguatay,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_02,1,STR-03_Cordillera-Emboscada,estrutura,03_Cordillera,Emboscada,Departamentos/03_Cordillera/Emboscada,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_03,1,STR-03_Cordillera-Eusebio_Ayala,estrutura,03_Cordillera,Eusebio_Ayala,Departamentos/03_Cordillera/Eusebio_Ayala,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_04,1,STR-03_Cordillera-Isla_Pucu,estrutura,03_Cordillera,Isla_Pucu,Departamentos/03_Cordillera/Isla_Pucu,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_05,1,STR-03_Cordillera-Itacurubi_de_la_Cordillera,estrutura,03_Cordillera,Itacurubi_de_la_Cordillera,Departamentos/03_Cordillera/Itacurubi_de_la_Cordillera,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_06,1,STR-03_Cordillera-Juan_de_Mena,estrutura,03_Cordillera,Juan_de_Mena,Departamentos/03_Cordillera/Juan_de_Mena,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_07,1,STR-03_Cordillera-Loma_Grande,estrutura,03_Cordillera,Loma_Grande,Departamentos/03_Cordillera/Loma_Grande,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_08,1,STR-03_Cordillera-Mbocayaty_del_Yhaguy,estrutura,03_Cordillera,Mbocayaty_del_Yhaguy,Departamentos/03_Cordillera/Mbocayaty_del_Yhaguy,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_09,1,STR-03_Cordillera-Nueva_Colombia,estrutura,03_Cordillera,Nueva_Colombia,Departamentos/03_Cordillera/Nueva_Colombia,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_10,1,STR-03_Cordillera-Piribebuy,estrutura,03_Cordillera,Piribebuy,Departamentos/03_Cordillera/Piribebuy,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_11,1,STR-03_Cordillera-Primero_de_Marzo,estrutura,03_Cordillera,Primero_de_Marzo,Departamentos/03_Cordillera/Primero_de_Marzo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,1,STR-03_Cordillera-San_Bernardino,estrutura,03_Cordillera,San_Bernardino,Departamentos/03_Cordillera/San_Bernardino,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_13,1,STR-03_Cordillera-San_Jose_de_los_Arroyos,estrutura,03_Cordillera,San_Jose_de_los_Arroyos,Departamentos/03_Cordillera/San_Jose_de_los_Arroyos,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_14,1,STR-03_Cordillera-Santa_Elena,estrutura,03_Cordillera,Santa_Elena,Departamentos/03_Cordillera/Santa_Elena,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_15,1,STR-03_Cordillera-Valenzuela,estrutura,03_Cordillera,Valenzuela,Departamentos/03_Cordillera/Valenzuela,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_16,1,STR-04_Guaira-Borja,estrutura,04_Guaira,Borja,Departamentos/04_Guaira/Borja,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_17,1,STR-04_Guaira-Capitan_Mauricio_Jose_Troche,estrutura,04_Guaira,Capitan_Mauricio_Jose_Troche,Departamentos/04_Guaira/Capitan_Mauricio_Jose_Troche,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_18,1,STR-04_Guaira-Coronel_Martinez,estrutura,04_Guaira,Coronel_Martinez,Departamentos/04_Guaira/Coronel_Martinez,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_19,1,STR-04_Guaira-Doctor_Botrell,estrutura,04_Guaira,Doctor_Botrell,Departamentos/04_Guaira/Doctor_Botrell,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_20,1,STR-04_Guaira-Felix_Perez_Cardozo,estrutura,04_Guaira,Felix_Perez_Cardozo,Departamentos/04_Guaira/Felix_Perez_Cardozo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_01,2,STR-04_Guaira-General_Eugenio_A_Garay,estrutura,04_Guaira,General_Eugenio_A_Garay,Departamentos/04_Guaira/General_Eugenio_A_Garay,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_02,2,STR-04_Guaira-Independencia,estrutura,04_Guaira,Independencia,Departamentos/04_Guaira/Independencia,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_03,2,STR-04_Guaira-Itape,estrutura,04_Guaira,Itape,Departamentos/04_Guaira/Itape,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_04,2,STR-04_Guaira-Iturbe,estrutura,04_Guaira,Iturbe,Departamentos/04_Guaira/Iturbe,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_05,2,STR-04_Guaira-Jose_Fassardi,estrutura,04_Guaira,Jose_Fassardi,Departamentos/04_Guaira/Jose_Fassardi,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_06,2,STR-04_Guaira-Mbocayaty_del_Guaira,estrutura,04_Guaira,Mbocayaty_del_Guaira,Departamentos/04_Guaira/Mbocayaty_del_Guaira,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_07,2,STR-04_Guaira-Natalicio_Talavera,estrutura,04_Guaira,Natalicio_Talavera,Departamentos/04_Guaira/Natalicio_Talavera,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_08,2,STR-04_Guaira-Numi,estrutura,04_Guaira,Numi,Departamentos/04_Guaira/Numi,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_09,2,STR-04_Guaira-Paso_Yobai,estrutura,04_Guaira,Paso_Yobai,Departamentos/04_Guaira/Paso_Yobai,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_10,2,STR-04_Guaira-San_Salvador,estrutura,04_Guaira,San_Salvador,Departamentos/04_Guaira/San_Salvador,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_11,2,STR-04_Guaira-Tebicuary,estrutura,04_Guaira,Tebicuary,Departamentos/04_Guaira/Tebicuary,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,2,STR-04_Guaira-Villarrica,estrutura,04_Guaira,Villarrica,Departamentos/04_Guaira/Villarrica,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_13,2,STR-04_Guaira-Yataity_del_Guaira,estrutura,04_Guaira,Yataity_del_Guaira,Departamentos/04_Guaira/Yataity_del_Guaira,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_14,2,STR-05_Caaguazu-Caaguazu,estrutura,05_Caaguazu,Caaguazu,Departamentos/05_Caaguazu/Caaguazu,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_15,2,STR-05_Caaguazu-Carayao,estrutura,05_Caaguazu,Carayao,Departamentos/05_Caaguazu/Carayao,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_16,2,STR-05_Caaguazu-Coronel_Oviedo,estrutura,05_Caaguazu,Coronel_Oviedo,Departamentos/05_Caaguazu/Coronel_Oviedo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_17,2,STR-05_Caaguazu-Doctor_Cecilio_Baez,estrutura,05_Caaguazu,Doctor_Cecilio_Baez,Departamentos/05_Caaguazu/Doctor_Cecilio_Baez,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_18,2,STR-05_Caaguazu-Doctor_Eulogio_Estigarribia,estrutura,05_Caaguazu,Doctor_Eulogio_Estigarribia,Departamentos/05_Caaguazu/Doctor_Eulogio_Estigarribia,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_19,2,STR-05_Caaguazu-Doctor_Juan_Manuel_Frutos,estrutura,05_Caaguazu,Doctor_Juan_Manuel_Frutos,Departamentos/05_Caaguazu/Doctor_Juan_Manuel_Frutos,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_20,2,STR-05_Caaguazu-Jose_Domingo_Ocampos,estrutura,05_Caaguazu,Jose_Domingo_Ocampos,Departamentos/05_Caaguazu/Jose_Domingo_Ocampos,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_01,3,STR-05_Caaguazu-La_Pastora,estrutura,05_Caaguazu,La_Pastora,Departamentos/05_Caaguazu/La_Pastora,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_02,3,STR-05_Caaguazu-Mariscal_Francisco_Solano_Lopez,estrutura,05_Caaguazu,Mariscal_Francisco_Solano_Lopez,Departamentos/05_Caaguazu/Mariscal_Francisco_Solano_Lopez,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_03,3,STR-05_Caaguazu-Nueva_Londres,estrutura,05_Caaguazu,Nueva_Londres,Departamentos/05_Caaguazu/Nueva_Londres,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_04,3,STR-05_Caaguazu-Nueva_Toledo,estrutura,05_Caaguazu,Nueva_Toledo,Departamentos/05_Caaguazu/Nueva_Toledo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_05,3,STR-05_Caaguazu-RI_Tres_Corrales,estrutura,05_Caaguazu,RI_Tres_Corrales,Departamentos/05_Caaguazu/RI_Tres_Corrales,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_06,3,STR-05_Caaguazu-Raul_Arsenio_Oviedo,estrutura,05_Caaguazu,Raul_Arsenio_Oviedo,Departamentos/05_Caaguazu/Raul_Arsenio_Oviedo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_07,3,STR-05_Caaguazu-Repatriacion,estrutura,05_Caaguazu,Repatriacion,Departamentos/05_Caaguazu/Repatriacion,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_08,3,STR-05_Caaguazu-San_Joaquin,estrutura,05_Caaguazu,San_Joaquin,Departamentos/05_Caaguazu/San_Joaquin,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_09,3,STR-05_Caaguazu-San_Jose_de_los_Arroyos,estrutura,05_Caaguazu,San_Jose_de_los_Arroyos,Departamentos/05_Caaguazu/San_Jose_de_los_Arroyos,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_10,3,STR-05_Caaguazu-Santa_Rosa_del_Mbutuy,estrutura,05_Caaguazu,Santa_Rosa_del_Mbutuy,Departamentos/05_Caaguazu/Santa_Rosa_del_Mbutuy,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_11,3,STR-05_Caaguazu-Simon_Bolivar,estrutura,05_Caaguazu,Simon_Bolivar,Departamentos/05_Caaguazu/Simon_Bolivar,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,3,STR-05_Caaguazu-Tembiapora,estrutura,05_Caaguazu,Tembiapora,Departamentos/05_Caaguazu/Tembiapora,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_13,3,STR-05_Caaguazu-Tres_de_Febrero,estrutura,05_Caaguazu,Tres_de_Febrero,Departamentos/05_Caaguazu/Tres_de_Febrero,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_14,3,STR-05_Caaguazu-Vaqueria,estrutura,05_Caaguazu,Vaqueria,Departamentos/05_Caaguazu/Vaqueria,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_15,3,STR-05_Caaguazu-Yhu,estrutura,05_Caaguazu,Yhu,Departamentos/05_Caaguazu/Yhu,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_16,3,STR-06_Caazapa-3_de_Mayo,estrutura,06_Caazapa,3_de_Mayo,Departamentos/06_Caazapa/3_de_Mayo,,todo,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
