package_id,seq_in_package,task_id,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
ALF_PKG_01,1,ALF-PAIS-01-PANORAMA_ESTRATEGICO,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Cobrir por que o Paraguai pode ser uma boa opcao para auto suficiencia, home staging e preparacao: pontos fortes, pontos fracos, vantagens comparativas, custo de entrada, estabilidade institucional e riscos estruturais; entregar texto base com fontes oficiais, datas de acesso e uma leitura orientada ao publico alvo."
ALF_PKG_01,2,ALF-PAIS-02-HISTORIA_RESILIENCIA,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Sintetizar historia do Paraguai, resiliencia do povo, mudancas politicas e economicas ao longo do tempo, ciclos de crise e recuperacao, e como isso explica a capacidade atual de crescimento; incluir marcos historicos, contexto social e evidencias oficiais."
ALF_PKG_01,3,ALF-PAIS-03-RECURSOS_NATURAIS,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Mapear aquiferos, grandes lagos, grandes rios, bacias hidrograficas e outros recursos naturais relevantes para resiliencia, producao de alimentos e abastecimento; indicar localizacao, uso potencial, limites e riscos de cada recurso."
ALF_PKG_01,4,ALF-PAIS-04-ENERGIA_SOLAR_REGRAS,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Levantar o marco federal aplicavel a sistemas solares offgrid e hibridos: regras de instalacao, conexao, seguranca, licenciamento, tributacao e eventual necessidade de autorizacao; deixar claro o que e nacional e o que varia por concessionaria ou departamento."
ALF_PKG_01,5,ALF-PAIS-05-INFRA_SEGURANCA_NACIONAL,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Descrever o sistema integrado de vigilancia e seguranca no nivel federal e sua interface com nivel departamental; incluir agencias, centros de monitoramento, redes de emergencias, limites de cobertura e implicacoes para preparacao civil."
ALF_PKG_01,6,ALF-PAIS-06-TERRA_RURAL_BASE,pesquisa_pais,pais,00_Pais,ALL,Paraguai,,todo,P1,agente_pesquisa_macro,"Determinar se existe tamanho minimo legal para area rural, qual e a referencia mais segura por tipo de imovel, e levantar a faixa media de valor de terra rural por regiao; separar claramente regra legal, pratica de mercado e lacunas documentais."
ALF_PKG_02,1,ALF-DEP-00_Distrito_Capital,pesquisa_departamento,departamento,00_Distrito_Capital,ALL,Departamentos/00_Distrito_Capital,ALF-PAIS-01-PANORAMA_ESTRATEGICO|ALF-PAIS-02-HISTORIA_RESILIENCIA|ALF-PAIS-03-RECURSOS_NATURAIS|ALF-PAIS-04-ENERGIA_SOLAR_REGRAS|ALF-PAIS-05-INFRA_SEGURANCA_NACIONAL|ALF-PAIS-06-TERRA_RURAL_BASE,todo,P1,agente_pesquisa_departamental,"Produzir dossie departamental de 00 Distrito Capital cobrindo historia, geografia, populacao, economia e vocacao produtiva; identificar concessionarias de energia e tarifas ou valores praticados por regiao, estudo de solo, principais culturas e industrias, maiores hospitais e centros de saude, principais universidades, presídios ou unidades prisionais, bases militares/navais/aereas, portos, aeroportos e aerodromos, sistema integrado de vigilancia, e referencias sobre tamanho minimo de area rural e valor medio de mercado; entregar mapa tematico com fontes oficiais, datas de acesso e lacunas explicitadas."
ALF_PKG_02,2,ALF-LOC-00_Distrito_Capital-Asuncion,pesquisa_localidade,localidade,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,ALF-DEP-00_Distrito_Capital,todo,P2,agente_pesquisa_local,"Levantar ficha completa da localidade Asuncion em 00 Distrito Capital: indice de incidencia solar por mes com grafico de candle, angulo de inclinacao recomendado para placa solar, indice pluviometrico por mes com grafico de candle, IDH, indice de saude, indice de educacao, indice de violencia, detalhamento de servicos publicos (bombeiros, postos de saude, hospitais), profundidade media de poços artesianos, restricoes ou legislacao sobre aguas e poços, custo medio de residencia urbana, custo medio de area rural, disponibilidade de internet de alta velocidade com velocidades e precos, disponibilidade de rede celular 3G/4G/5G com velocidades e precos, postos de combustivel, postos de carregamento eletrico, existencia de gas encanado ou botijao, numero de delegacias, presidio na cidade ou em cidades limitrofes e populacao carceraria, disponibilidade de entrega por correios/transportadoras/e-commerce, cinemas, shoppings ou centros de compras, atacados de alimentos, foco comercial ou industrial local, indice de escolaridade, alfabetizacao e ensino superior, idade media, fertilidade media e indice de poluicao luminosa; registrar fontes oficiais, data de acesso, e separar dado medido de estimativa."
ALF_PKG_03,1,ALF-DEP-01_Concepcion,pesquisa_departamento,departamento,01_Concepcion,ALL,Departamentos/01_Concepcion,ALF-PAIS-01-PANORAMA_ESTRATEGICO|ALF-PAIS-02-HISTORIA_RESILIENCIA|ALF-PAIS-03-RECURSOS_NATURAIS|ALF-PAIS-04-ENERGIA_SOLAR_REGRAS|ALF-PAIS-05-INFRA_SEGURANCA_NACIONAL|ALF-PAIS-06-TERRA_RURAL_BASE,todo,P1,agente_pesquisa_departamental,"Produzir dossie departamental de 01 Concepcion cobrindo historia, geografia, populacao, economia e vocacao produtiva; identificar concessionarias de energia e tarifas ou valores praticados por regiao, estudo de solo, principais culturas e industrias, maiores hospitais e centros de saude, principais universidades, presídios ou unidades prisionais, bases militares/navais/aereas, portos, aeroportos e aerodromos, sistema integrado de vigilancia, e referencias sobre tamanho minimo de area rural e valor medio de mercado; entregar mapa tematico com fontes oficiais, datas de acesso e lacunas explicitadas."
ALF_PKG_03,2,ALF-LOC-01_Concepcion-Arroyito,pesquisa_localidade,localidade,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,ALF-DEP-01_Concepcion,todo,P2,agente_pesquisa_local,"Levantar ficha completa da localidade Arroyito em 01 Concepcion: indice de incidencia solar por mes com grafico de candle, angulo de inclinacao recomendado para placa solar, indice pluviometrico por mes com grafico de candle, IDH, indice de saude, indice de educacao, indice de violencia, detalhamento de servicos publicos (bombeiros, postos de saude, hospitais), profundidade media de poços artesianos, restricoes ou legislacao sobre aguas e poços, custo medio de residencia urbana, custo medio de area rural, disponibilidade de internet de alta velocidade com velocidades e precos, disponibilidade de rede celular 3G/4G/5G com velocidades e precos, postos de combustivel, postos de carregamento eletrico, existencia de gas encanado ou botijao, numero de delegacias, presidio na cidade ou em cidades limitrofes e populacao carceraria, disponibilidade de entrega por correios/transportadoras/e-commerce, cinemas, shoppings ou centros de compras, atacados de alimentos, foco comercial ou industrial local, indice de escolaridade, alfabetizacao e ensino superior, idade media, fertilidade media e indice de poluicao luminosa; registrar fontes oficiais, data de acesso, e separar dado medido de estimativa."
