package_id,total_tasks,pais,departamento,localidade,p1,p2,p3
ALF_PKG_01,6,6,0,0,6,0,0
ALF_PKG_02,2,0,1,1,1,1,0
ALF_PKG_03,15,0,1,14,1,14,0
ALF_PKG_04,23,0,1,22,1,22,0
ALF_PKG_05,20,0,1,19,1,19,0
ALF_PKG_06,19,0,1,18,1,18,0
ALF_PKG_07,23,0,1,22,1,22,0
ALF_PKG_08,12,0,1,11,1,11,0
ALF_PKG_09,31,0,1,30,1,30,0
ALF_PKG_10,11,0,1,10,1,10,0
ALF_PKG_11,19,0,1,18,1,18,0
ALF_PKG_12,23,0,1,22,1,22,0
ALF_PKG_13,20,0,1,19,1,19,0
ALF_PKG_14,17,0,1,16,1,16,0
ALF_PKG_15,7,0,1,6,1,6,0
ALF_PKG_16,17,0,1,16,1,16,0
ALF_PKG_17,11,0,1,10,1,10,0
ALF_PKG_18,5,0,1,4,1,4,0
ALF_PKG_19,5,0,1,4,1,4,0
