package_id,seq_in_package,task_id,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
LIV_PKG_01,1,LIV-F1-DADOS-01_Concepcion-Arroyito,coleta_fontes_distrito,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_02,1,LIV-F1-DADOS-01_Concepcion-Azotey,coleta_fontes_distrito,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_03,1,LIV-F1-DADOS-01_Concepcion-Belen,coleta_fontes_distrito,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_04,1,LIV-F1-DADOS-01_Concepcion-Concepcion,coleta_fontes_distrito,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_05,1,LIV-F1-DADOS-01_Concepcion-Horqueta,coleta_fontes_distrito,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_06,1,LIV-F1-DADOS-01_Concepcion-Itacua,coleta_fontes_distrito,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_07,1,LIV-F1-DADOS-01_Concepcion-Loreto,coleta_fontes_distrito,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_08,1,LIV-F1-DADOS-01_Concepcion-Paso_Barreto,coleta_fontes_distrito,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_09,1,LIV-F1-DADOS-01_Concepcion-Paso_Horqueta,coleta_fontes_distrito,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_10,1,LIV-F1-DADOS-01_Concepcion-San_Alfredo,coleta_fontes_distrito,distrito,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,,todo,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
