task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
ENR-DADOS-00_Distrito_Capital-Asuncion,enriquecer_dados,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-00_Distrito_Capital-Asuncion,recalcular_gss,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,ENR-DADOS-00_Distrito_Capital-Asuncion,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-00_Distrito_Capital-Asuncion,baixar_midia,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,ENR-DADOS-00_Distrito_Capital-Asuncion,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/00_Distrito_Capital/Asuncion/media/
ENR-MIDIA-MD-00_Distrito_Capital-Asuncion,atualizar_media_md,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,ENR-MIDIA-DOWN-00_Distrito_Capital-Asuncion,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-00_Distrito_Capital-Asuncion,validar_enriquecimento,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,ENR-MIDIA-MD-00_Distrito_Capital-Asuncion,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Arroyito,enriquecer_dados,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Arroyito,recalcular_gss,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,ENR-DADOS-01_Concepcion-Arroyito,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Arroyito,baixar_midia,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,ENR-DADOS-01_Concepcion-Arroyito,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Arroyito/media/
ENR-MIDIA-MD-01_Concepcion-Arroyito,atualizar_media_md,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,ENR-MIDIA-DOWN-01_Concepcion-Arroyito,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Arroyito,validar_enriquecimento,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,ENR-MIDIA-MD-01_Concepcion-Arroyito,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Azotey,enriquecer_dados,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Azotey,recalcular_gss,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,ENR-DADOS-01_Concepcion-Azotey,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
