task_id,wave,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
E1-CIT-00_Distrito_Capital-Asuncion,E1,citacao_linha_a_linha,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-00_Distrito_Capital-Asuncion,E1,indicadores_oficiais_granulares,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E1-CIT-00_Distrito_Capital-Asuncion,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-00_Distrito_Capital-Asuncion,E1,qa_evidencia,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E1-INDIC-00_Distrito_Capital-Asuncion,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-00_Distrito_Capital-Asuncion,E2,calibracao_notas_AE,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E1-QA-00_Distrito_Capital-Asuncion,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-00_Distrito_Capital-Asuncion,E2,gss_reproduzivel,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E2-MODEL-00_Distrito_Capital-Asuncion,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-00_Distrito_Capital-Asuncion,E2,sensibilidade_3_cenarios,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E2-GSS-00_Distrito_Capital-Asuncion,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-00_Distrito_Capital-Asuncion,E2,qa_modelo,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E2-SENS-00_Distrito_Capital-Asuncion,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-00_Distrito_Capital-Asuncion,E3,midia_tecnica_local,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E2-QA-00_Distrito_Capital-Asuncion,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-00_Distrito_Capital-Asuncion,E3,qa_midia,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E3-MIDIA-00_Distrito_Capital-Asuncion,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-00_Distrito_Capital-Asuncion,E4,redacao_profunda_distrital,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E3-QA-00_Distrito_Capital-Asuncion,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-00_Distrito_Capital-Asuncion,E4,qa_editorial_distrital,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,E4-TEXTO-00_Distrito_Capital-Asuncion,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Arroyito,E1,citacao_linha_a_linha,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Arroyito,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E1-CIT-01_Concepcion-Arroyito,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Arroyito,E1,qa_evidencia,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E1-INDIC-01_Concepcion-Arroyito,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Arroyito,E2,calibracao_notas_AE,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E1-QA-01_Concepcion-Arroyito,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Arroyito,E2,gss_reproduzivel,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E2-MODEL-01_Concepcion-Arroyito,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Arroyito,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E2-GSS-01_Concepcion-Arroyito,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Arroyito,E2,qa_modelo,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E2-SENS-01_Concepcion-Arroyito,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Arroyito,E3,midia_tecnica_local,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E2-QA-01_Concepcion-Arroyito,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Arroyito,E3,qa_midia,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E3-MIDIA-01_Concepcion-Arroyito,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Arroyito,E4,redacao_profunda_distrital,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E3-QA-01_Concepcion-Arroyito,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Arroyito,E4,qa_editorial_distrital,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,E4-TEXTO-01_Concepcion-Arroyito,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Azotey,E1,citacao_linha_a_linha,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Azotey,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E1-CIT-01_Concepcion-Azotey,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
