task_id,wave,phase,department,district,path,depends_on,status,priority,definition_of_done
W1-FATOS-00_Distrito_Capital-Asuncion,onda1,base_factual,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-00_Distrito_Capital-Asuncion,onda1,indicadores_minimos,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W1-FATOS-00_Distrito_Capital-Asuncion,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-00_Distrito_Capital-Asuncion,onda1,qa_factual,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W1-INDIC-00_Distrito_Capital-Asuncion,done,P1,Checklist Onda 1 aprovado
W2-GSS-00_Distrito_Capital-Asuncion,onda2,gss_calibrado,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W1-QA-00_Distrito_Capital-Asuncion,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-00_Distrito_Capital-Asuncion,onda2,sensibilidade_gss,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W2-GSS-00_Distrito_Capital-Asuncion,done,P2,Análise de sensibilidade registrada
W2-QA-00_Distrito_Capital-Asuncion,onda2,qa_quantitativo,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W2-SENS-00_Distrito_Capital-Asuncion,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-00_Distrito_Capital-Asuncion,onda3,midia_especifica,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W2-QA-00_Distrito_Capital-Asuncion,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-00_Distrito_Capital-Asuncion,onda3,redacao_final_local,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W3-MIDIA-00_Distrito_Capital-Asuncion,done,P2,Texto final local coerente e publicável
W3-QA-00_Distrito_Capital-Asuncion,onda3,qa_publicacao_local,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,W3-REDACAO-00_Distrito_Capital-Asuncion,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Arroyito,onda1,base_factual,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Arroyito,onda1,indicadores_minimos,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W1-FATOS-01_Concepcion-Arroyito,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Arroyito,onda1,qa_factual,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W1-INDIC-01_Concepcion-Arroyito,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Arroyito,onda2,gss_calibrado,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W1-QA-01_Concepcion-Arroyito,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Arroyito,onda2,sensibilidade_gss,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W2-GSS-01_Concepcion-Arroyito,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Arroyito,onda2,qa_quantitativo,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W2-SENS-01_Concepcion-Arroyito,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Arroyito,onda3,midia_especifica,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W2-QA-01_Concepcion-Arroyito,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Arroyito,onda3,redacao_final_local,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W3-MIDIA-01_Concepcion-Arroyito,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Arroyito,onda3,qa_publicacao_local,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,W3-REDACAO-01_Concepcion-Arroyito,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Azotey,onda1,base_factual,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Azotey,onda1,indicadores_minimos,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W1-FATOS-01_Concepcion-Azotey,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Azotey,onda1,qa_factual,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W1-INDIC-01_Concepcion-Azotey,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Azotey,onda2,gss_calibrado,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W1-QA-01_Concepcion-Azotey,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Azotey,onda2,sensibilidade_gss,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W2-GSS-01_Concepcion-Azotey,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Azotey,onda2,qa_quantitativo,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W2-SENS-01_Concepcion-Azotey,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Azotey,onda3,midia_especifica,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W2-QA-01_Concepcion-Azotey,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Azotey,onda3,redacao_final_local,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W3-MIDIA-01_Concepcion-Azotey,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Azotey,onda3,qa_publicacao_local,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,W3-REDACAO-01_Concepcion-Azotey,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Belen,onda1,base_factual,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Belen,onda1,indicadores_minimos,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W1-FATOS-01_Concepcion-Belen,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Belen,onda1,qa_factual,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W1-INDIC-01_Concepcion-Belen,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Belen,onda2,gss_calibrado,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W1-QA-01_Concepcion-Belen,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Belen,onda2,sensibilidade_gss,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W2-GSS-01_Concepcion-Belen,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Belen,onda2,qa_quantitativo,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W2-SENS-01_Concepcion-Belen,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Belen,onda3,midia_especifica,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W2-QA-01_Concepcion-Belen,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Belen,onda3,redacao_final_local,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W3-MIDIA-01_Concepcion-Belen,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Belen,onda3,qa_publicacao_local,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,W3-REDACAO-01_Concepcion-Belen,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Concepcion,onda1,base_factual,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Concepcion,onda1,indicadores_minimos,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W1-FATOS-01_Concepcion-Concepcion,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Concepcion,onda1,qa_factual,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W1-INDIC-01_Concepcion-Concepcion,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Concepcion,onda2,gss_calibrado,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W1-QA-01_Concepcion-Concepcion,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Concepcion,onda2,sensibilidade_gss,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W2-GSS-01_Concepcion-Concepcion,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Concepcion,onda2,qa_quantitativo,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W2-SENS-01_Concepcion-Concepcion,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Concepcion,onda3,midia_especifica,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W2-QA-01_Concepcion-Concepcion,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Concepcion,onda3,redacao_final_local,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W3-MIDIA-01_Concepcion-Concepcion,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Concepcion,onda3,qa_publicacao_local,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,W3-REDACAO-01_Concepcion-Concepcion,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Horqueta,onda1,base_factual,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Horqueta,onda1,indicadores_minimos,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W1-FATOS-01_Concepcion-Horqueta,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Horqueta,onda1,qa_factual,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W1-INDIC-01_Concepcion-Horqueta,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Horqueta,onda2,gss_calibrado,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W1-QA-01_Concepcion-Horqueta,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Horqueta,onda2,sensibilidade_gss,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W2-GSS-01_Concepcion-Horqueta,done,P2,Análise de sensibilidade registrada
