task_id,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
LIV-F1-DADOS-00_Distrito_Capital-Asuncion,coleta_fontes_distrito,distrito,00_Distrito_Capital,Asuncion,Departamentos/00_Distrito_Capital/Asuncion,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Arroyito,coleta_fontes_distrito,distrito,01_Concepcion,Arroyito,Departamentos/01_Concepcion/Arroyito,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Azotey,coleta_fontes_distrito,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Belen,coleta_fontes_distrito,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Concepcion,coleta_fontes_distrito,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Horqueta,coleta_fontes_distrito,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Itacua,coleta_fontes_distrito,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Loreto,coleta_fontes_distrito,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Paso_Barreto,coleta_fontes_distrito,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Paso_Horqueta,coleta_fontes_distrito,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-San_Alfredo,coleta_fontes_distrito,distrito,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-San_Carlos_del_Apa,coleta_fontes_distrito,distrito,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-San_Lazaro,coleta_fontes_distrito,distrito,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Sargento_Jose_Felix_Lopez,coleta_fontes_distrito,distrito,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-01_Concepcion-Yby_Yau,coleta_fontes_distrito,distrito,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-25_de_Diciembre,coleta_fontes_distrito,distrito,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-Antequera,coleta_fontes_distrito,distrito,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-Capiibary,coleta_fontes_distrito,distrito,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-Chore,coleta_fontes_distrito,distrito,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-General_Elizardo_Aquino,coleta_fontes_distrito,distrito,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-General_Resquin,coleta_fontes_distrito,distrito,02_San_Pedro,General_Resquin,Departamentos/02_San_Pedro/General_Resquin,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV-F1-DADOS-02_San_Pedro-Guayaibi,coleta_fontes_distrito,distrito,02_San_Pedro,Guayaibi,Departamentos/02_San_Pedro/Guayaibi,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
